Player Name,Points Per Game,Assists Per Game,Rebounds Per Game,Blocks Per Game,Steals Per Game,True Shooting Percentage,All Star Player?
b'Ryan Hollins',2.5,0.2,1.8,0.5,0.2,0.564079422,0
b'Sasha Pavlovi\xc4\x87',4.8,0.8,1.1,0.1,0.4,0.517241379,0
b'Sasha Vuja\xc4\x8di\xc4\x87',3.9,1.7,1.9,0,0.6,0.479822835,0
b'Sebastian Telfair',9.5,3.6,1.8,0.1,1,0.492534218,0
b'Serge Ibaka',9.9,0.3,7.6,2.4,0.4,0.584553614,0
b'Sergio Rodr\xc3\xadguez',2.5,1.7,0.8,0,0.3,0.428082192,0
b'Shammond Williams',5.2,1.8,1.2,0,0.4,0.453910615,0
b'Shane Battier',9.7,1.3,4.4,1.1,1.3,0.596116028,0
b'Shaun Livingston',5.8,4.5,3,0.5,0.8,0.462372449,0
b'Shawn Marion',17.3,2,10.7,1.4,1.7,0.529764821,1
b'Shawne Williams',6.7,0.9,2.7,0.4,0.4,0.523110556,0
b'Shelvin Mack',4.6,2.2,1.3,0,0.5,0.532407407,0
b'Solomon Jones',1,0,1.2,0.1,0.1,0.429553265,0
b'Sonny Weems',7.5,1.5,2.8,0.4,0.6,0.536020583,0
b'Spencer Hawes',11.4,1.9,7.1,1.2,0.6,0.509292352,0
b'Stephen Curry',18.6,5.8,3.9,0.3,1.5,0.597532768,1
